instance,noise,seed,cmax,delta_heldout__mitigated_only,win_legacy__mitigated_only,win_v2__mitigated_only,changed__mitigated_only,gap__mitigated_only,tie_practical__mitigated_only,tie_statistical__mitigated_only,mc_scale__mitigated_only,delta_heldout__incl_unmitigated,win_legacy__incl_unmitigated,win_v2__incl_unmitigated,changed__incl_unmitigated,gap__incl_unmitigated,tie_practical__incl_unmitigated,tie_statistical__incl_unmitigated,mc_scale__incl_unmitigated
octahedron,dev_lagos,19,8,-0.01294694766721724,rem,zne_rem,True,0.0021407859602474016,True,True,0.023225965121543193,-0.01294694766721724,rem,zne_rem,True,0.0021407859602474016,True,True,0.01808011065300362
octahedron,dev_lagos,20,8,0.0,rem,rem,False,0.0013311889270010563,True,True,0.023225965121543193,0.0,rem,rem,False,0.0013311889270010563,True,True,0.01808011065300362
octahedron,dev_lagos,21,8,0.0017596056752224448,rem,zne,True,0.0021178535204283144,True,True,0.023225965121543193,0.0017596056752224448,rem,zne,True,0.0021178535204283144,True,True,0.01808011065300362
octahedron,dev_lagos,22,8,-0.006625704478502484,zne_rem,rem,True,0.0024330446682049034,True,True,0.023225965121543193,-0.006625704478502484,zne_rem,rem,True,0.0024330446682049034,True,True,0.01808011065300362
octahedron,dev_lagos,23,8,0.0026731314140669427,rem,zne,True,0.0012784808393977304,True,True,0.023225965121543193,0.0026731314140669427,rem,zne,True,0.0012784808393977304,True,True,0.01808011065300362
octahedron,dev_lagos,24,8,-0.01266607816674463,zne,zne_rem,True,0.003615798864260042,True,True,0.023225965121543193,-0.01266607816674463,zne,zne_rem,True,0.003615798864260042,True,True,0.01808011065300362
octahedron,dev_lagos,25,8,0.0013369787280352596,rem,zne,True,0.0016089374404771734,True,True,0.023225965121543193,0.0013369787280352596,rem,zne,True,0.0016089374404771734,True,True,0.01808011065300362
octahedron,dev_lagos,26,8,0.0,rem,rem,False,0.0014478274276089886,True,True,0.023225965121543193,0.0,rem,rem,False,0.0014478274276089886,True,True,0.01808011065300362
octahedron,dev_lagos,27,8,0.0029026580067484375,zne_rem,rem,True,6.669897044551953e-05,True,True,0.023225965121543193,0.0029026580067484375,zne_rem,rem,True,6.669897044551953e-05,True,True,0.01808011065300362
octahedron,dev_lagos,28,8,0.00023251132864239576,rem,zne,True,0.001506919772907192,True,True,0.023225965121543193,0.00023251132864239576,rem,zne,True,0.001506919772907192,True,True,0.01808011065300362
octahedron,dev_lagos,29,8,0.0068632490572048815,zne_rem,rem,True,0.0037603601847734924,True,True,0.023225965121543193,0.0068632490572048815,zne_rem,rem,True,0.0037603601847734924,True,True,0.01808011065300362
path6,dev_algiers,0,5,0.002485557946564434,rem,zne,True,1.1114286720736999e-05,True,True,0.005961187008994988,0.002485557946564434,rem,zne,True,1.1114286720736999e-05,True,True,0.00507126264012414
path6,dev_algiers,1,5,0.001179749554583669,rem,zne,True,0.0016874012471975951,True,True,0.005961187008994988,0.001179749554583669,rem,zne,True,0.0016874012471975951,True,True,0.00507126264012414
path6,dev_algiers,2,5,0.0036827281283486,rem,zne,True,0.0012169986673734633,True,True,0.005961187008994988,0.0036827281283486,rem,zne,True,0.0012169986673734633,True,True,0.00507126264012414
path6,dev_algiers,3,5,0.002533581361455717,rem,zne,True,0.0005872837096861083,True,True,0.005961187008994988,0.002533581361455717,rem,zne,True,0.0005872837096861083,True,True,0.00507126264012414
path6,dev_algiers,4,5,0.0032736644785217447,rem,zne,True,0.0046350232724667075,True,True,0.005961187008994988,0.004758333333333269,none,zne,True,0.0046350232724667075,True,True,0.00507126264012414
path6,dev_algiers,5,5,-0.0007181422648999104,rem,zne_rem,True,9.154088070387096e-05,True,True,0.005961187008994988,-0.0007181422648999104,rem,zne_rem,True,9.154088070387096e-05,True,True,0.00507126264012414
path6,dev_algiers,6,5,0.0025759250187789282,rem,zne,True,0.0005858895736809977,True,True,0.005961187008994988,0.0025759250187789282,rem,zne,True,0.0005858895736809977,True,True,0.00507126264012414
path6,dev_algiers,7,5,0.0026322848824769985,rem,zne_rem,True,0.0019971631265858396,True,True,0.005961187008994988,0.0026322848824769985,rem,zne_rem,True,0.0019971631265858396,True,True,0.00507126264012414
path6,dev_algiers,8,5,0.0,rem,rem,False,8.164701432974674e-05,True,True,0.005961187008994988,0.0,rem,rem,False,8.164701432974674e-05,True,True,0.00507126264012414
path6,dev_algiers,9,5,0.0010806921297081297,rem,zne_rem,True,0.003702662575781055,True,True,0.005961187008994988,0.0010806921297081297,rem,zne_rem,True,0.003702662575781055,True,True,0.00507126264012414
path6,dev_algiers,10,5,0.002994208420991065,rem,zne,True,0.00023148376501904268,True,True,0.005961187008994988,0.002994208420991065,rem,zne,True,0.00023148376501904268,True,True,0.00507126264012414
path6,dev_algiers,11,5,0.0014738901771320558,rem,zne_rem,True,0.00023407240210691072,True,True,0.005961187008994988,0.0014738901771320558,rem,zne_rem,True,0.00023407240210691072,True,True,0.00507126264012414
path6,dev_algiers,12,5,0.0013872178692196434,rem,zne_rem,True,0.0009000577539286424,True,True,0.005961187008994988,0.0013872178692196434,rem,zne_rem,True,0.0009000577539286424,True,True,0.00507126264012414
path6,dev_algiers,13,5,0.00029606907083111966,rem,zne_rem,True,0.0016100665214193732,True,True,0.005961187008994988,0.00029606907083111966,rem,zne_rem,True,0.0016100665214193732,True,True,0.00507126264012414
path6,dev_algiers,14,5,0.002996901738596964,rem,zne_rem,True,0.0018589266550586101,True,True,0.005961187008994988,0.002996901738596964,rem,zne_rem,True,0.0018589266550586101,True,True,0.00507126264012414
path6,dev_algiers,15,5,0.0019600369339654476,rem,zne,True,0.00217394033003373,True,True,0.005961187008994988,0.0019600369339654476,rem,zne,True,0.00217394033003373,True,True,0.00507126264012414
path6,dev_algiers,16,5,0.0036204341407854736,rem,zne_rem,True,0.0021349957814845943,True,True,0.005961187008994988,0.0036204341407854736,rem,zne_rem,True,0.0021349957814845943,True,True,0.00507126264012414
path6,dev_algiers,17,5,0.00160044458522945,rem,zne_rem,True,0.001315197573710698,True,True,0.005961187008994988,0.00160044458522945,rem,zne_rem,True,0.001315197573710698,True,True,0.00507126264012414
path6,dev_algiers,18,5,0.0002314177963440932,rem,zne_rem,True,0.001255580460581367,True,True,0.005961187008994988,0.0002314177963440932,rem,zne_rem,True,0.001255580460581367,True,True,0.00507126264012414
path6,dev_algiers,19,5,0.004301214225781269,rem,zne_rem,True,0.0007423407218063182,True,True,0.005961187008994988,0.004301214225781269,rem,zne_rem,True,0.0007423407218063182,True,True,0.00507126264012414
path6,dev_algiers,20,5,0.0027321873027991474,rem,zne_rem,True,0.00044802796808840023,True,True,0.005961187008994988,0.0027321873027991474,rem,zne_rem,True,0.00044802796808840023,True,True,0.00507126264012414
path6,dev_algiers,21,5,-0.0021330503977237568,rem,zne,True,0.002165798597958695,True,True,0.005961187008994988,-0.0021330503977237568,rem,zne,True,0.002165798597958695,True,True,0.00507126264012414
path6,dev_algiers,22,5,0.0001853100156962918,rem,zne_rem,True,1.293972142681456e-05,True,True,0.005961187008994988,0.0001853100156962918,rem,zne_rem,True,1.293972142681456e-05,True,True,0.00507126264012414
path6,dev_algiers,23,5,0.0037315894703841223,rem,zne,True,0.0020240488859647066,True,True,0.005961187008994988,0.0037315894703841223,rem,zne,True,0.0020240488859647066,True,True,0.00507126264012414
path6,dev_algiers,24,5,-0.00016999555593528727,rem,zne_rem,True,0.002202691532676724,True,True,0.005961187008994988,-0.00016999555593528727,rem,zne_rem,True,0.002202691532676724,True,True,0.00507126264012414
path6,dev_algiers,25,5,0.0008671470423642274,rem,zne,True,0.0012637489513984156,True,True,0.005961187008994988,0.0008671470423642274,rem,zne,True,0.0012637489513984156,True,True,0.00507126264012414
path6,dev_algiers,26,5,0.0031301334897799473,rem,zne,True,0.0003190318603386011,True,True,0.005961187008994988,0.0031301334897799473,rem,zne,True,0.0003190318603386011,True,True,0.00507126264012414
path6,dev_algiers,27,5,0.0024034474233119774,rem,zne_rem,True,0.001529733368667987,True,True,0.005961187008994988,0.0024034474233119774,rem,zne_rem,True,0.001529733368667987,True,True,0.00507126264012414
path6,dev_algiers,28,5,0.0029464316516269132,rem,zne_rem,True,0.0013260499434077921,True,True,0.005961187008994988,0.0029464316516269132,rem,zne_rem,True,0.0013260499434077921,True,True,0.00507126264012414
path6,dev_algiers,29,5,0.004817984737495973,rem,zne,True,0.002220113481261468,True,True,0.005961187008994988,0.004817984737495973,rem,zne,True,0.002220113481261468,True,True,0.00507126264012414
path6,dev_lagos,0,5,0.0,rem,rem,False,0.0028336699931973187,True,True,0.03231207900723157,0.0,rem,rem,False,0.0028336699931973187,True,True,0.025038051578652566
path6,dev_lagos,1,5,-0.0012767442833779286,zne_rem,rem,True,0.001432854771260339,True,True,0.03231207900723157,-0.0012767442833779286,zne_rem,rem,True,0.001432854771260339,True,True,0.025038051578652566
path6,dev_lagos,2,5,-0.028639088148702873,zne_rem,rem,True,0.005949968093549118,True,True,0.03231207900723157,-0.028639088148702873,zne_rem,rem,True,0.0051458014268824185,True,True,0.025038051578652566
path6,dev_lagos,3,5,-0.013812277811803372,zne_rem,rem,True,0.00714810990875987,True,True,0.03231207900723157,-0.013812277811803372,zne_rem,rem,True,0.00714810990875987,True,True,0.025038051578652566
path6,dev_lagos,4,5,0.0,rem,rem,False,0.006241072135097986,True,True,0.03231207900723157,0.0,rem,rem,False,0.00507773880176463,True,True,0.025038051578652566
path6,dev_lagos,5,5,0.0,rem,rem,False,0.011178048443869371,False,True,0.03231207900723157,0.0,rem,rem,False,0.011178048443869371,False,True,0.025038051578652566
path6,dev_lagos,6,5,0.0054236948674439844,zne,zne_rem,True,0.005384485865702865,True,True,0.03231207900723157,0.0054236948674439844,zne,zne_rem,True,0.005384485865702865,True,True,0.025038051578652566
path6,dev_lagos,7,5,0.01589937972100584,zne_rem,rem,True,0.011932777439178966,False,True,0.03231207900723157,0.01589937972100584,zne_rem,rem,True,0.010603610772512229,False,True,0.025038051578652566
path6,dev_lagos,8,5,0.002421701708832061,zne_rem,rem,True,0.015326450218890102,False,True,0.03231207900723157,0.002421701708832061,zne_rem,rem,True,0.015326450218890102,False,True,0.025038051578652566
path6,dev_lagos,9,5,0.002239078242737058,zne_rem,rem,True,0.008896641789382593,True,True,0.03231207900723157,0.002239078242737058,zne_rem,rem,True,0.0088208084560493,True,True,0.025038051578652566
path6,dev_lagos,10,5,0.0,rem,rem,False,0.01209321600961365,False,True,0.03231207900723157,0.0,rem,rem,False,0.010869882676280385,False,True,0.025038051578652566
path6,dev_lagos,11,5,0.0,zne_rem,zne_rem,False,0.004384592064846216,True,True,0.03231207900723157,0.0,zne_rem,zne_rem,False,0.004384592064846216,True,True,0.025038051578652566
